Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4080,Harry Potter and the Order of the Phoenix,Wii,2007.0,Action,Electronic Arts,0.38,0.06,0.0,0.04,0.49
9039,Disney Infinity 2.0: Marvel Super Heroes,PSV,2015.0,Action,Disney Interactive Studios,0.0,0.11,0.0,0.03,0.14
14663,Kong: King of Atlantis,GBA,2005.0,Action,THQ,0.02,0.01,0.0,0.0,0.03
6890,Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003.0,Action,Sony Computer Entertainment,0.0,0.0,0.24,0.0,0.24
1898,Grand Theft Auto V,PC,2015.0,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
16304,Fireman Sam: Action Stations,DS,2013.0,Action,Avanquest Software,0.0,0.01,0.0,0.0,0.01
1990,Guinness World Records: The Videogame,Wii,2008.0,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04
233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
9706,One Piece: Pirate Warriors 2,PSV,2013.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
8885,X-Men: The Official Game,GC,2006.0,Action,Activision,0.12,0.03,0.0,0.0,0.15
7069,Musou Orochi Z,PS3,2009.0,Action,Tecmo Koei,0.0,0.0,0.23,0.0,0.23
7648,From Russia With Love,XB,2005.0,Action,Electronic Arts,0.15,0.04,0.0,0.01,0.2
12885,Adventure Time: Finn & Jake Investigations,WiiU,2015.0,Action,Little Orbit,0.03,0.02,0.0,0.0,0.05
9175,Robots,DS,2005.0,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.14
9933,Spider-Man: Edge of Time,3DS,2011.0,Action,Activision,0.08,0.03,0.0,0.01,0.12
12565,Attack on Titan (KOEI),PS3,2016.0,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
157,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
3505,Top Spin 3,PS3,2008.0,Action,Take-Two Interactive,0.08,0.37,0.0,0.12,0.57
5589,Golden Axe: Beast Rider,PS3,2008.0,Action,Sega,0.13,0.14,0.0,0.06,0.32
8709,Jurassic Park: The Game,X360,,Action,Unknown,0.15,0.0,0.0,0.01,0.16
11805,Resident Evil Zero,XOne,2016.0,Action,Capcom,0.05,0.02,0.0,0.01,0.07
16570,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,3DS,2014.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
177,Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
9027,Ratatouille,GC,2007.0,Action,THQ,0.11,0.03,0.0,0.0,0.14
